Link Text,Link Href,Date
Maahan­muut­to­virasto epäili vilunkia vastaan­ot­to­kes­kusten kilpai­lu­tuksessa – pisti päätökset uusiksi,https://yle.fi/a/74-20087999,10.5.
Kärkkäinen oy:n toimi­tus­johtaja vaihtuu – Juha Kärkkäinen jatkaa hallituksen puheen­joh­tajana,https://yle.fi/a/74-20088007,10.5.
IS: Liikemies Thomas Zilliacus otettiin kiinni Saksassa,https://yle.fi/a/74-20088011,10.5.
"Biden aikoo asettaa tulleja kiina­laisille sähkö­autoille, koska ne muodostavat turval­li­suus­riskin",https://yle.fi/a/74-20087979,10.5.
"Metsäyhtiöissä mietitään nyt päät punaisina, miten puusta saataisiin aikaan arvokkaampia tuotteita – tässä ovat visiot",https://yle.fi/a/74-20085109,10.5.
"Luksusau­toihin myydään yhä erikoisempia lisä­va­rusteita, ja pian ne valuvat myös halvempiin autoihin – tällaisia ne ovat",https://yle.fi/a/74-20085223,9.5.
Rovaniemellä kaivataan tiukempaa otetta matkailuun – korkeat hinnat houkuttavat markkinoille vastuut­to­miakin toimijoita,https://yle.fi/a/74-20086742,9.5.
Asiakas maksaa pian 15 dollaria pullosta suomalaista vettä – pieni firma Heinolasta teki diilin luksus­hotelli Ritzin kanssa,https://yle.fi/a/74-20087715,9.5.
Yllätys Olkiluoto 3:n alasajossa pompautti sähkön hinnan ylös – tästä syystä ydinvoi­maloita huolletaan nyt päällekkäin,https://yle.fi/a/74-20087744,8.5.
Vaikealta näyttää Suomen viennissä: Uudet tilaukset vähenivät ja lomautetut lisääntyivät,https://yle.fi/a/74-20087681,8.5.
HS: Nokia suunnittelee jopa satojen työpaikkojen vähentämistä Suomesta,https://yle.fi/a/74-20087665,8.5.
Haminan-Kotkan sata­ma­liikenne laski merkit­tävästi alkuvuodesta – myös lakoilla vaiku­tuksensa,https://yle.fi/a/74-20087619,8.5.
Etelä-Savon Energia teki hyvän tuloksen viime vuonna,https://yle.fi/a/74-20087587,7.5.
"Sähkö on huomenna poikkeuk­sel­lisen kallista, kun takatalvi nipistää ja ydinvoimalat pysyvät hiljaisina",https://yle.fi/a/74-20087537,7.5.
Finnwatch paljasti: Monen tutun ruokapaketin ympä­ris­tö­merkit ovat itse keksittyjä,https://yle.fi/a/74-20087176,7.5.
Vaalimaalle suunniteltua vodka­tehdasta koskeva oikai­su­vaa­timus hylättiin Virolahdella,https://yle.fi/a/74-20087395,7.5.
Rovaniemen kaupunki ottaa yli 45 miljoona euroa talous­ar­vio­lainaa inves­toin­teihin,https://yle.fi/a/74-20087380,6.5.
Naispomot ja -omistajat maksavat naisille parempaa palkkaa kuin miehet,https://yle.fi/a/74-20085364,6.5.
Orimattila säästää lakkaut­tamalla kouluja ja päiväkoteja,https://yle.fi/a/74-20087371,6.5.
"Postin aikeet voivat lihottaa kansain­vä­lisiä jättejä suomalaisten yritysten kärsiessä, pelkää Medialiitto",https://yle.fi/a/74-20087304,6.5.
"Selvitys: Jos thaipoi­mi­joiden asemaa parannetaan, kotimaisten marjojen hinta nousee ja osa firmoista joutuu lopettamaan",https://yle.fi/a/74-20087221,6.5.
Posti voi vähentää jopa 250 työntekijää Suomesta – tampe­re­lainen pääluot­ta­musmies lataa suorat sanat: ”Sapettaa”,https://yle.fi/a/74-20087223,6.5.
Veroil­moi­tuksen korjailun määräpäivät ovat taas käsillä,https://yle.fi/a/74-20087164,6.5.
"Suomalainen asunto­ve­lal­linen kärsii nyt korkeista koroista, vaikka Suomen inflaa­tiotaso puoltaisi jo niiden laskemista",https://yle.fi/a/74-20086643,5.5.
EU-komissio tutkii Finnairia ja muita lento­yhtiöitä viherpesusta,https://yle.fi/a/74-20087122,5.5.
"Satavuotias mies meni tietämättään naimisiin – järkyttynyt poika kertoo nyt, mitä tapahtui",https://yle.fi/a/74-20086307,5.5.
"Otto kokeili tienata netti­kirp­pikseltä ruokarahoja – hänestä tuli supermyyjä, joka ei ole juuri koskaan vapaalla",https://yle.fi/a/74-20083467,5.5.
Perin­tö­ve­rojen maksua varten otetaan jopa lainaa – perintöverot kasvavat aiempaa isompien perintöjen myötä,https://yle.fi/a/74-20086180,5.5.
Pula kohtuu­hin­taisista vuokra-asunnoista uhkaa pahentua tulevina vuosina,https://yle.fi/a/74-20086773,4.5.
"Sähköyhtiöt eivät suostu sovit­te­lemaan kohtuuttomia sähkö­so­pi­muksia – lue, miten kannattaa toimia",https://yle.fi/a/74-20085798,4.5.
"Sähkölaskut yli 7 000 euroa – eläke­läis­pa­riskunta joutui myymään talonsa, koska sähköyhtiö ei suostunut laskemaan hintaa",https://yle.fi/a/74-20085716,4.5.
"Tältä näyttää asuntojen hintatilanne eri puolilla Suomea – katso kartalta, missä ostaja on nyt vahvoilla",https://yle.fi/a/74-20086702,3.5.
"Tekno­lo­giayhtiöt pitäisi saada kuriin globaaleilla säännöillä – ”EU:n paras vientituote ei voi olla sääntely”, toteaa parla­menttiin pyrkivä",https://yle.fi/a/74-20084475,3.5.
"Tuottavuuden kasvun hyödyt eivät ole jakautuneet tasaisesti, ja siksi kuljemme kriisistä toiseen",https://yle.fi/a/74-20084125,3.5.
Meyer Turun tulos jäi tappiolle – liikevaihto kasvoi kymme­nyksellä,https://yle.fi/a/74-20087013,3.5.
"Oma Säästöpankin toimi­tus­johtaja kertoo, mitä viranomaiset nyt selvittävät – ”Tiedossani on yksi tutkinta”",https://yle.fi/a/74-20086999,3.5.
Kodin­ko­neketju Power aloittaa koko henkilöstöä koskevat muutos­neu­vot­telut,https://yle.fi/a/74-20087009,3.5.
Pyörä­val­mistaja Polen konkurs­sipesä odottaa osto­tar­jouksia firmasta – asiakkailta jäi saamatta tuhansien eurojen pyöriä,https://yle.fi/a/74-20086928,3.5.
Keskus­ri­kos­poliisi aloitti esitutkinnan Oma SP:n arvo­pa­pe­ri­mark­ki­na­ri­koksesta,https://yle.fi/a/74-20086868,3.5.
"Asuntojen hinnat laskivat alkuvuonna viisi prosenttia, kertoo Tilas­to­keskus",https://yle.fi/a/74-20086861,3.5.
Näin koti­ta­lous­vä­hen­nyksen leikkaus näkyisi eri tuloluokissa – viisi eri vaihtoehtoa kohden­ta­miseen,https://yle.fi/a/74-20084972,3.5.
"12 talouden huippu­asian­tun­tijaa kertoo, miten he sijoittavat rahojaan juuri nyt",https://yle.fi/a/74-20086795,3.5.
Ukrainan sota syöksi Venäjän kaasujätin syville vesille,https://yle.fi/a/74-20086842,3.5.
EU vauhdittaa vetytalouden kasvua tuotan­totuella – Lahden vetyhanke pääsi yhtenä harvoista pottiin kiinni,https://yle.fi/a/74-20086717,2.5.
"Näillä aloilla on vielä kesätöitä, vaikka paikkojen määrä on romahtanut",https://yle.fi/a/74-20084333,2.5.
"”Kyllä lankulle riittää edelleen kysyntää”, vannoo Oulun upouuden suursahan yrittäjä",https://yle.fi/a/74-20085593,2.5.
Heikki Malinen siirtyy Outokummusta johtamaan Nestettä,https://yle.fi/a/74-20086716,2.5.
Lappilaiset ohjel­ma­pal­ve­lu­yri­tykset rikkovat lakia – harva yritys muistaa tarkistaa vuokra­työ­voimansa taustat,https://yle.fi/a/74-20085694,2.5.
AC Oulu teki tappiota yli puoli miljoonaa – seuran mukaan maksuvalmius ei kuitenkaan ollut uhattuna,https://yle.fi/a/74-20086667,2.5.
Tervey­den­huol­to­jär­jestelmä ei ole kriisissä eliniän pidentymisen takia vaan ihan muista syistä,https://yle.fi/a/74-20086214,2.5.
Ykkösaamun vieraana on Jutta Urpilainen – mitä haluat kysyä EU-komis­saarilta?,https://yle.fi/a/74-20086566,2.5.
Pohjois-Pohjanmaan elinkeinot ja työllisyys jatkoivat mata­la­suh­danteessa,https://yle.fi/a/74-20086621,2.5.
Pörssisähkön hintaan raju piikki torstaina,https://yle.fi/a/74-20086574,1.5.
Lappeen­rannan Asunto­palvelu luopuu vakuus­maksusta – asukkaille yhtiö palauttaa jo maksetut vuokra­va­kuudet,https://yle.fi/a/74-20086466,1.5.
"Israe­li­laiset matkailijat kaikkosivat Rovaniemeltä Gazan sodan vuoksi, aasialaiset matkailijat palasivat",https://yle.fi/a/74-20086376,30.4.
Analyysi: Nesteen kurssi romahti ja toimi­tus­johtaja sai potkut – mitä tapahtui?,https://yle.fi/a/74-20086402,30.4.
"Wärtsilä on varautunut laajentamaan Vaasassa, jos tarve tulee",https://yle.fi/a/74-20086278,30.4.
"Yle seuraa tulospäivää: Mustin tulos kääntyi tappiolle, sähkön hinnan lasku painoi Fortumin tulosta",https://yle.fi/a/74-20086421,30.4.
"Työnantajat: Hoitajapula ja opettajapula pahenee, kun hallitus lakkauttaa aikuis­kou­lu­tustuen",https://yle.fi/a/74-20086298,30.4.
Nesteen toimi­tus­johtaja Matti Lehmus jättää tehtävänsä,https://yle.fi/a/74-20086362,29.4.
"Seela-Kaarina Tuutti on toipuva shoppai­luaddikti – näin hän pääsi irti riippu­vuudesta, josta yhä useampi kärsii",https://yle.fi/a/74-20083746,29.4.
Finnair keskeyttää Viron Tarton lennot kuukaudeksi – kentälle rakennetaan GPS-häirinnästä riippumaton lähes­ty­mis­jär­jestelmä,https://yle.fi/a/74-20086197,29.4.
Muovi­le­luistaan tunnettu Plasto siirtyy peli­val­mistaja Tactic Gamesin omistukseen,https://yle.fi/a/74-20086279,29.4.
Kuluttajien luottamus vajosi synkkiin tunnelmiin – auton tai asunnon ostoa pohti huhtikuussa vain harva,https://yle.fi/a/74-20086280,29.4.
Nokian Renkaille jättitappiot: yhtiö kertoo kärsineensä lakoista,https://yle.fi/a/74-20086270,29.4.
Supercellistä tuttu Ilkka Paananen tanskalaisen leluyhtiö Legon hallitukseen,https://yle.fi/a/74-20086261,29.4.
"Pankin­johtaja manipuloi ja vääristeli lainatietoja – Oma SP:n tappiot voivat nousta 20 miljoonaan, ei vielä tutkin­ta­pyyntöä",https://yle.fi/a/74-20086220,29.4.
"XXL-kokoisen Jenni Sanssin on vaikea löytää hyvin istuvia vaatteita – ”Mietin, eivätkö rahani kelpaa vaate­firmoille”",https://yle.fi/a/74-20085385,29.4.
"Prime-pullot ovat niin kysyttyjä, että Roni Löfman, 21, matkusti Los Angelesiin asti niitä hakemaan",https://yle.fi/a/74-20085819,28.4.
"Työttömyys uhkaa levitä raken­nuksilta muille aloille – 8 000 korkea­kou­lu­tettua on jäänyt työttömäksi, ja se enteilee huonoa",https://yle.fi/a/74-20085827,28.4.
"Opiskelijan päivästä tuli painajainen, kun muuttofirma ei tullutkaan paikalle – löysi somesta satoja kohta­lo­to­vereita",https://yle.fi/a/74-20083463,28.4.
Suoma­lais­yrittäjä aikoo avata Hotelli Punkaharjun kesällä – omistajan aiemmat liiketoimet eivät huolestuta vuokralaista,https://yle.fi/a/74-20085975,28.4.
Kela: Kannustimet etuuksilta osa-aikatöihin heikkenevät – pienistä lisätuloista jää työttömän käteen entistä vähemmän,https://yle.fi/a/74-20085896,27.4.
"Keskustan Saarikko: Hallitus kuvitteli, että hyvin­voin­ti­pal­veluista löytyisi säästöjä pika-aikataululla",https://yle.fi/a/74-20086006,27.4.
"Onko 90-luvun lama jättänyt sinuun jälkensä? Kerro, teemme juttua",https://yle.fi/a/74-20085858,26.4.
Nokian kaupunki aloittaa yt-neuvottelut – kaupungin talous­suun­nitelma osoittautui 14 miljoonaa alijää­mäiseksi,https://yle.fi/a/74-20085899,26.4.
Puolus­tus­voimat tilasi Patrialta ensimmäisen raskaasti panssaroidun 6x6-ajoneuvon,https://yle.fi/a/74-20085932,26.4.
"Terrafamen tulos kärsi maail­man­mark­ki­na­hinnoista ja poliit­tisista lakoista, mutta liiketulos pysyi posi­tii­visena",https://yle.fi/a/74-20085870,26.4.
"Bittiumin ja Puolus­tus­voimien yhteistyö jatkuu – uusimman tilauksen arvo 4,5 miljoonaa",https://yle.fi/a/74-20085800,26.4.
Suomen matkailu on jäänyt surkeaan jamaan – tulijoiden ja lähtijöiden välillä entistä isompi ero,https://yle.fi/a/74-20085245,26.4.
Googlen emoyhtiön Alphabetin tulos ylitti odotukset,https://yle.fi/a/74-20085778,26.4.
Tekoäly siivitti Microsoftin hyvään tulokseen,https://yle.fi/a/74-20085777,26.4.
"Kokoomuksen Marttinen: On mahdollista, että hallitus joutuu leikkaamaan lisää",https://yle.fi/a/74-20085754,25.4.
"Stora Enso selvittää, voisiko se valmistaa sellua ruudin raaka-aineeksi",https://yle.fi/a/74-20085762,25.4.
Pietarsaaren edustan saarelle suunni­tellaan polttoai­neiden tuotan­to­laitosta – toteutuminen voi tarkoittaa  saaren laajen­tamista,https://yle.fi/a/74-20085728,25.4.
"Orpo ei yllättynyt talous­en­nusteesta – uskoo, että uusia leikkauksia ei nyt tarvita",https://yle.fi/a/74-20085698,25.4.
Metsä Groupille 60 miljoonan euron lasku lakoista – Kemin kaasu­rä­jäh­dyksestä 100 miljoonan euron vahinko,https://yle.fi/a/74-20085682,25.4.
Ammat­ti­kor­kea­kouluun tullaan aina vain heikommalta tasolta – tukiopetusta pitää antaa aivan perusasioissa,https://yle.fi/a/74-20085169,25.4.
Oulainen lomauttaa kaupun­gin­joh­tajansa kahdeksi viikoksi – vuosi sitten lomautuksiin ei tarvin­nutkaan turvautua,https://yle.fi/a/74-20085486,25.4.
"Kipeää tekee, mutta hallituksen tavoite ei näillä eväillä toteudu, ennustaa ministeriö – taantumasta kuitenkin noustaan",https://yle.fi/a/74-20085485,25.4.
Euroopan inves­toin­tipankki tukee Helenin kahta hanketta 150 miljoonan euron lainalla,https://yle.fi/a/74-20085600,25.4.
"Olli Dahl söi puusta tehtyä jauhoa ja lihoi kuusi kiloa – tutkijaa kiinnostaa, miten se on mahdollista",https://yle.fi/a/74-20077496,25.4.
Yritys­sa­nee­raukseen hakeutuneen Lehto Groupin toimi­tus­johtaja vaihtuu,https://yle.fi/a/74-20085565,25.4.
Hallitus esitteli ison tuki­pork­kanan vihreille inves­toinneille – vety-yrittäjä: ”Hyödynnämme tätä varmasti Joensuussa”,https://yle.fi/a/74-20084956,24.4.
"Motonet ja moni muu suoma­lais­yritys valtaa nyt Ruotsia – kun Venäjä hyökkäsi Ukrainaan, katse kääntyi länteen",https://yle.fi/a/74-20084678,24.4.
Akku­teol­lisuus tarvitsee tuhansia työnte­kijöitä ulkomailta: ”Suomalaiset eivät kovin mielellään muuta koti­seu­dultaan”,https://yle.fi/a/74-20085220,24.4.
Ovako uusii Imatran teräs­tehdasta 15 miljoonalla eurolla – suurin investointi yli 30 vuoteen,https://yle.fi/a/74-20085313,24.4.
Kalus­te­val­mistaja perustaa Lahteen seitsemän miljoonaa euron tehtaan: arvioi työllis­tävänsä lähivuosina sata ihmistä,https://yle.fi/a/74-20085318,24.4.
K-Citymarketin kassa saa kovia tulos­palkkioita – kauppaketjut palkitsevat työnte­ki­jöitään ruhti­naal­lisesti,https://yle.fi/a/74-20085101,24.4.
Vero­hal­linnon pääjohtaja kritisoi hallituksen lisäsäästöjä – palvelut huononevat,https://yle.fi/a/74-20085272,24.4.
"Teslan tulos sukelsi, mutta lupaukset edulli­semmista autoista nostivat osakkeiden arvoa",https://yle.fi/a/74-20085283,24.4.
"Usean pk-yrityksen tulevaisuus vaaka­laudalla, ekonomisti: Arvon­li­sä­veron nosto voi olla viimeinen tikki",https://yle.fi/a/74-20085237,23.4.
Piikiek­ko­firman toimi­tus­johtaja kaipaa Suomeen enemmän osaavia työnte­kijöitä: ”Talenttipula on ihan keskeinen tekijä”,https://yle.fi/a/74-20085281,23.4.
Päästö­vä­hen­nykset ohjaavat suoma­lais­rahtia rautateille Ruotsissa – yritykset etsivät ekolo­gi­sempia reittejä Eurooppaan,https://yle.fi/a/74-20083251,23.4.
Hitachi Energy investoi 170 miljoonaa uuteen tehtaaseen Pohjanmaalla,https://yle.fi/a/74-20085191,23.4.
"Nyt se on sovittu – pesukoneet, pölynimurit ja älypuhelimet on pystyttävä myös korjaamaan",https://yle.fi/a/74-20085082,23.4.
"Bolidenin tulos heikkeni, konsernin tulos silti selvästi voitollinen",https://yle.fi/a/74-20085178,23.4.
Yle selvitti työnte­ki­jöiden pahoin­vointia isossa yrittä­jä­jär­jestössä – sitten soitti toimi­tus­johtaja Mikael Pentikäinen,https://yle.fi/a/74-20083123,22.4.
Valtion pitkä leipä voi loppua Orpon hallituksen säästöihin – kiire rajaa vaihdot vähiin,https://yle.fi/a/74-20084877,22.4.
Rakennusalan ahdinko veti vähähiilistä betonia kehittäneen yhtiön ongelmiin – Betolar aloittaa suuret muutos­neu­vot­telut,https://yle.fi/a/74-20084942,22.4.
"Yrittäjä Iida Miettinen ajatteli, että vau, nyt alkaa vallankumous, kunnes lobbarit jyräsivät EU:n pakkaus­a­se­tuksen",https://yle.fi/a/74-20080679,22.4.
MOT selvitti Hotelli Punkaharjun ostaneen sijoittajan liiketoimia,https://yle.fi/a/74-20084402,22.4.
Vaasan kaupungin talous näyttää odotettua synkemmältä – kaupun­gin­hal­litus käsittelee säästötoimia tänään,https://yle.fi/a/74-20084833,22.4.
"Tiedätkö, paljonko työkaverisi saa palkkaa? Myyjä Elias Eväkoski tietää ja on siihen tyytyväinen",https://yle.fi/a/74-20084568,22.4.
Edessä jopa tuhansia irti­sa­no­misia – virkamiesten järjes­tö­johtaja Minna Salminen vietti unettoman yön kehysriihen jälkeen,https://yle.fi/a/74-20084719,21.4.
Bloomberg: Terrafamen toinen omistaja on mukana raaka-aine­bis­neksessä Venäjällä – vastuu­mi­nisteri vaikenee,https://yle.fi/a/74-20084660,21.4.
Kannabis on Saksan uusi hittituote – laillis­ta­misen jälkeen kukinnoista on kehittymässä miljar­di­bisnes,https://yle.fi/a/74-20084075,21.4.
”Kohtuuton ja järjetön päätös” – näin lukiolaisten ja ammattiin opiskelevien järjestöt ajattelevat säästöistä,https://yle.fi/a/74-20084738,21.4.
Uusien autojen kauppa on hyytynyt lamavuosien tasolle – Suomen autokannan uudistuminen on työsuh­deau­toilun varassa,https://yle.fi/a/74-20084749,20.4.
Saksa­lais­mediat: Hakkerit ovat vakoilleet vuosia Volkswagenia – jäljet viittaavat Kiinaan,https://yle.fi/a/74-20084735,20.4.
Muutos Kiinan taloudessa on jäänyt huomaamatta – tietyillä aloilla menee talous­jätissä nyt todella kovaa,https://yle.fi/a/74-20083020,20.4.
"Israelin ilmaisku Iraniin nosti öljyn hintaa hetkel­lisesti, mutta vaikutukset näyttävät jäävän pieniksi",https://yle.fi/a/74-20084672,19.4.
Hiihtoliiton toimin­nan­johtaja Ismo Hämäläinen saa potkut,https://yle.fi/a/74-20084594,19.4.
Oulussa vuokrat nousseet  nopeiten Suomessa viimeisen vuoden aikana – varsinkin yksiöiden vuokria on korotettu,https://yle.fi/a/74-20084552,19.4.
Markkinat säikähtivät Israelin Iskua – näin vaikutukset voivat näkyä Suomessa asti,https://yle.fi/a/74-20084510,19.4.
EU:n selvitysmies haluaa säästö­unionin – raportti: Perheiden sijoi­tus­ra­hojen karkaaminen Yhdys­val­toihin pitää pysäyttää,https://yle.fi/a/74-20084489,19.4.
Seuraako suklaan hinnannoususta terveys­hyötyjä? THL:n Mika Salminen arvioi,https://yle.fi/a/74-20084406,19.4.
Kysely: Joka viides pk-yritys kertoo olevansa huonossa talou­del­lisessa tilanteessa,https://yle.fi/a/74-20084488,19.4.
Tubettaja Paqpa kommentoi häneen kohdis­tuneita epäilyjä vero­pe­toksesta: Olin huolimaton ja tietämätön,https://yle.fi/a/74-20084495,18.4.
Teppo Koivisto ottaa 40 miljardia lisää lainaa Suomelle – hänellä on vakava viesti velasta: ”Suomi-lisä” on kaksin­ker­tais­tunut,https://yle.fi/a/74-20083783,18.4.
Eläkeläiset ovat pettyneitä hallituksen päätökseen kiristää eläkkeiden verotusta,https://yle.fi/a/74-20084342,18.4.
"Nokian Lundmark hallituksen toimista: Kaikkien intressissä on toivoa, että ne lähtevät vähitellen vaikuttamaan",https://yle.fi/a/74-20084320,18.4.
Oppositio on haastanut eduskunnan kyse­ly­tunnilla ministeri Juusoa sosiaali- ja tervey­den­huollon heiken­nyksistä,https://yle.fi/a/74-20084331,18.4.
HK-Scan vaihtaa nimeään,https://yle.fi/a/74-20084420,18.4.
Posti aloittaa muutos­neu­vot­telut – uhan alla lähes 300 työpaikkaa,https://yle.fi/a/74-20084409,18.4.
Oligarkkien omistaman Helsingin areenan vuokrarästit on maksettu – yli kuukauden myöhässä,https://yle.fi/a/74-20084387,18.4.
"”Provider-suhteessa” nainen hymyilee kauniisti eikä vaadi mitään, vaikka haluaa kaiken – mies maksaa laskut mukisematta",https://yle.fi/a/74-20082747,18.4.
Yle seuraa tulospäivää: Nordea aloitti vuoden vahvasti,https://yle.fi/a/74-20084295,18.4.
"Koodareilla urakka 25,5 prosentin arvon­li­sä­veroon valmis­tau­tu­misessa – kaikki järjestelmät eivät tunnista desi­maa­li­lukuja",https://yle.fi/a/74-20084164,18.4.
Labore uskoo talouden taantuman jäävän kohta taakse,https://yle.fi/a/74-20084277,18.4.
"SDP:n Antti Lindtman esitti A-studiossa 2,5 miljardin euron vaihtoehtoista pakettia hallituksen sopeu­tus­toimille",https://yle.fi/a/74-20084259,17.4.
"Raportti: Jos EU ei tee näitä talous­uu­dis­tuksia, se jää USA:n ja Kiinan jätti­mark­ki­noiden jalkoihin",https://yle.fi/a/74-20084192,17.4.
"Miksi yritystukiin, tunnin junaan ja viinaveroon ei tartuttu kunnolla? Näin asiantun­tijat summaavat kehysriihen saavutukset",https://yle.fi/a/74-20084194,17.4.
